concept_id,concept_code,concept_name,rxnorm_mapping
35131806,OMOP4789041,1000 MG Spironolactone 0.1 MG/MG Oral Granules,Quant Clinical Drug
35143610,OMOP4800710,1000 MG Spironolactone 0.1 MG/MG Oral Granules [Aldactone],Quant Branded Drug
35149903,OMOP4806957,1000 MG Spironolactone 0.1 MG/MG Oral Granules [Merlactone],Quant Branded Drug
35787725,OMOP2789186,125 ML Spironolactone 10 MG/ML Oral Solution,Quant Clinical Drug
35787708,OMOP2789169,125 ML Spironolactone 10 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
35787755,OMOP2789216,125 ML Spironolactone 10 MG/ML Oral Solution by Rosemont,Marketed Product
21079149,OMOP325210,125 ML Spironolactone 10 MG/ML Oral Suspension,Quant Clinical Drug
35787733,OMOP2789194,125 ML Spironolactone 10 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21059444,OMOP325212,125 ML Spironolactone 10 MG/ML Oral Suspension by Rosemont,Marketed Product
35787768,OMOP2789229,125 ML Spironolactone 1 MG/ML Oral Solution,Quant Clinical Drug
35787753,OMOP2789214,125 ML Spironolactone 1 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
35787775,OMOP2789236,125 ML Spironolactone 1 MG/ML Oral Solution by Rosemont,Marketed Product
21167556,OMOP325220,125 ML Spironolactone 1 MG/ML Oral Suspension,Quant Clinical Drug
35787716,OMOP2789177,125 ML Spironolactone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21128107,OMOP325222,125 ML Spironolactone 1 MG/ML Oral Suspension by Rosemont,Marketed Product
35787759,OMOP2789220,125 ML Spironolactone 20 MG/ML Oral Solution,Quant Clinical Drug
35787774,OMOP2789235,125 ML Spironolactone 20 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
35787739,OMOP2789200,125 ML Spironolactone 20 MG/ML Oral Solution by Rosemont,Marketed Product
21039852,OMOP325217,125 ML Spironolactone 20 MG/ML Oral Suspension,Quant Clinical Drug
35787722,OMOP2789183,125 ML Spironolactone 20 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21030026,OMOP325219,125 ML Spironolactone 20 MG/ML Oral Suspension by Rosemont,Marketed Product
35787746,OMOP2789207,125 ML Spironolactone 2 MG/ML Oral Solution,Quant Clinical Drug
35787777,OMOP2789238,125 ML Spironolactone 2 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
35787754,OMOP2789215,125 ML Spironolactone 2 MG/ML Oral Solution by Rosemont,Marketed Product
21128106,OMOP325213,125 ML Spironolactone 2 MG/ML Oral Suspension,Quant Clinical Drug
35787776,OMOP2789237,125 ML Spironolactone 2 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21030025,OMOP325216,125 ML Spironolactone 2 MG/ML Oral Suspension by Rosemont,Marketed Product
35787735,OMOP2789196,125 ML Spironolactone 5 MG/ML Oral Solution,Quant Clinical Drug
35787732,OMOP2789193,125 ML Spironolactone 5 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
35787731,OMOP2789192,125 ML Spironolactone 5 MG/ML Oral Solution by Rosemont,Marketed Product
21128105,OMOP325207,125 ML Spironolactone 5 MG/ML Oral Suspension,Quant Clinical Drug
35787707,OMOP2789168,125 ML Spironolactone 5 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21079148,OMOP325209,125 ML Spironolactone 5 MG/ML Oral Suspension by Rosemont,Marketed Product
21155857,OMOP292229,1 ML Chlorothiazide 10 MG/ML / Spironolactone 1 MG/ML Oral Solution,Quant Clinical Drug
21096822,OMOP292231,1 ML Chlorothiazide 10 MG/ML / Spironolactone 1 MG/ML Oral Suspension,Quant Clinical Drug
21136025,OMOP292238,1 ML Chlorothiazide 20 MG/ML / Spironolactone 2 MG/ML Oral Solution,Quant Clinical Drug
21028142,OMOP292240,1 ML Chlorothiazide 20 MG/ML / Spironolactone 2 MG/ML Oral Suspension,Quant Clinical Drug
21096821,OMOP292225,1 ML Chlorothiazide 40 MG/ML / Spironolactone 4 MG/ML Oral Solution,Quant Clinical Drug
21057587,OMOP292227,1 ML Chlorothiazide 40 MG/ML / Spironolactone 4 MG/ML Oral Suspension,Quant Clinical Drug
21096823,OMOP292234,1 ML Chlorothiazide 50 MG/ML / Spironolactone 2 MG/ML Oral Solution,Quant Clinical Drug
21067424,OMOP292236,1 ML Chlorothiazide 50 MG/ML / Spironolactone 2 MG/ML Oral Suspension,Quant Clinical Drug
21038093,OMOP294555,1 ML Spironolactone 0.25 MG/ML Oral Solution,Quant Clinical Drug
21146034,OMOP294557,1 ML Spironolactone 0.25 MG/ML Oral Suspension,Quant Clinical Drug
21047911,OMOP294496,1 ML Spironolactone 0.4 MG/ML Oral Solution,Quant Clinical Drug
21116540,OMOP294498,1 ML Spironolactone 0.4 MG/ML Oral Suspension,Quant Clinical Drug
21077448,OMOP294569,1 ML Spironolactone 0.5 MG/ML Oral Solution,Quant Clinical Drug
21155997,OMOP294571,1 ML Spironolactone 0.5 MG/ML Oral Suspension,Quant Clinical Drug
21087149,OMOP294533,1 ML Spironolactone 0.66 MG/ML Oral Solution,Quant Clinical Drug
21057702,OMOP294535,1 ML Spironolactone 0.66 MG/ML Oral Suspension,Quant Clinical Drug
21106811,OMOP294613,1 ML Spironolactone 0.6 MG/ML Oral Solution,Quant Clinical Drug
21028270,OMOP294615,1 ML Spironolactone 0.6 MG/ML Oral Suspension,Quant Clinical Drug
21077446,OMOP294537,1 ML Spironolactone 0.7 MG/ML Oral Solution,Quant Clinical Drug
21047915,OMOP294539,1 ML Spironolactone 0.7 MG/ML Oral Suspension,Quant Clinical Drug
21155999,OMOP294584,1 ML Spironolactone 0.8 MG/ML Oral Solution,Quant Clinical Drug
21057704,OMOP294587,1 ML Spironolactone 0.8 MG/ML Oral Suspension,Quant Clinical Drug
21028269,OMOP294578,1 ML Spironolactone 0.9 MG/ML Oral Solution,Quant Clinical Drug
21087154,OMOP294580,1 ML Spironolactone 0.9 MG/ML Oral Suspension,Quant Clinical Drug
21087146,OMOP294505,1 ML Spironolactone 10 MG/ML Oral Solution,Quant Clinical Drug
35776671,OMOP2778132,1 ML Spironolactone 10 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
21136169,OMOP294507,1 ML Spironolactone 10 MG/ML Oral Suspension,Quant Clinical Drug
35777524,OMOP2778985,1 ML Spironolactone 10 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21155995,OMOP294520,1 ML Spironolactone 1.25 MG/ML Oral Solution,Quant Clinical Drug
21106808,OMOP294522,1 ML Spironolactone 1.25 MG/ML Oral Suspension,Quant Clinical Drug
21116542,OMOP294524,1 ML Spironolactone 1.2 MG/ML Oral Solution,Quant Clinical Drug
21165771,OMOP294526,1 ML Spironolactone 1.2 MG/ML Oral Suspension,Quant Clinical Drug
21057699,OMOP294488,1 ML Spironolactone 1.4 MG/ML Oral Solution,Quant Clinical Drug
21106806,OMOP294490,1 ML Spironolactone 1.4 MG/ML Oral Suspension,Quant Clinical Drug
21028268,OMOP294511,1 ML Spironolactone 1.5 MG/ML Oral Solution,Quant Clinical Drug
21126289,OMOP294542,1 ML Spironolactone 15 MG/ML Oral Solution,Quant Clinical Drug
21126287,OMOP294513,1 ML Spironolactone 1.5 MG/ML Oral Suspension,Quant Clinical Drug
21175506,OMOP294544,1 ML Spironolactone 15 MG/ML Oral Suspension,Quant Clinical Drug
21116545,OMOP294546,1 ML Spironolactone 1.66 MG/ML Oral Solution,Quant Clinical Drug
21047917,OMOP294548,1 ML Spironolactone 1.66 MG/ML Oral Suspension,Quant Clinical Drug
21047913,OMOP294515,1 ML Spironolactone 1.6 MG/ML Oral Solution,Quant Clinical Drug
21087148,OMOP294517,1 ML Spironolactone 1.6 MG/ML Oral Suspension,Quant Clinical Drug
21116550,OMOP294599,1 ML Spironolactone 1 MG/ML Oral Solution,Quant Clinical Drug
35776943,OMOP2778404,1 ML Spironolactone 1 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
21096953,OMOP294601,1 ML Spironolactone 1 MG/ML Oral Suspension,Quant Clinical Drug
35776942,OMOP2778403,1 ML Spironolactone 1 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21136177,OMOP294593,1 ML Spironolactone 20 MG/ML Oral Solution,Quant Clinical Drug
35776941,OMOP2778402,1 ML Spironolactone 20 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
21077449,OMOP294595,1 ML Spironolactone 20 MG/ML Oral Suspension,Quant Clinical Drug
35777224,OMOP2778685,1 ML Spironolactone 20 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21116546,OMOP294559,1 ML Spironolactone 2.4 MG/ML Oral Solution,Quant Clinical Drug
21136174,OMOP294561,1 ML Spironolactone 2.4 MG/ML Oral Suspension,Quant Clinical Drug
21038091,OMOP294550,1 ML Spironolactone 2.5 MG/ML Oral Solution,Quant Clinical Drug
21106810,OMOP294589,1 ML Spironolactone 25 MG/ML Oral Solution,Quant Clinical Drug
21087151,OMOP294553,1 ML Spironolactone 2.5 MG/ML Oral Suspension,Quant Clinical Drug
21087155,OMOP294591,1 ML Spironolactone 25 MG/ML Oral Suspension,Quant Clinical Drug
21116543,OMOP294528,1 ML Spironolactone 2.7 MG/ML Oral Solution,Quant Clinical Drug
21057701,OMOP294531,1 ML Spironolactone 2.7 MG/ML Oral Suspension,Quant Clinical Drug
21077447,OMOP294564,1 ML Spironolactone 2 MG/ML Oral Solution,Quant Clinical Drug
35776386,OMOP2777847,1 ML Spironolactone 2 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
21047918,OMOP294566,1 ML Spironolactone 2 MG/ML Oral Suspension,Quant Clinical Drug
35776944,OMOP2778405,1 ML Spironolactone 2 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
36409740,OMOP3101782,1 ML Spironolactone 3 MG/ML Oral Solution,Quant Clinical Drug
21155998,OMOP294582,1 ML Spironolactone 3 MG/ML Oral Suspension,Quant Clinical Drug
21165774,OMOP294573,1 ML Spironolactone 40 MG/ML Oral Solution,Quant Clinical Drug
21175508,OMOP294576,1 ML Spironolactone 40 MG/ML Oral Suspension,Quant Clinical Drug
21057697,OMOP294479,1 ML Spironolactone 4 MG/ML Oral Solution,Quant Clinical Drug
21077443,OMOP294481,1 ML Spironolactone 4 MG/ML Oral Suspension,Quant Clinical Drug
21136168,OMOP294492,1 ML Spironolactone 50 MG/ML Oral Solution,Quant Clinical Drug
21087145,OMOP294494,1 ML Spironolactone 50 MG/ML Oral Suspension,Quant Clinical Drug
21028267,OMOP294500,1 ML Spironolactone 5 MG/ML Oral Solution,Quant Clinical Drug
35776670,OMOP2778131,1 ML Spironolactone 5 MG/ML Oral Solution by Drug Tariff Special Order,Marketed Product
21126286,OMOP294502,1 ML Spironolactone 5 MG/ML Oral Suspension,Quant Clinical Drug
35775937,OMOP2777398,1 ML Spironolactone 5 MG/ML Oral Suspension by Drug Tariff Special Order,Marketed Product
21156000,OMOP294604,1 ML Spironolactone 6 MG/ML Oral Solution,Quant Clinical Drug
