concept_id,concept_name,concept_code,vocabulary_id
41128758,Corticotropin 80 IU Injectable Solution [Acethropan] Box of 25,OMOP2326720,RxNorm Extension
41230718,Corticotropin 80 IU Injectable Solution [Acethropan] Box of 5 by Sanofi,OMOP2428680,RxNorm Extension
41330297,1 ML Corticotropin 80 UNT/ML Injectable Solution,OMOP2528259,RxNorm Extension
40228904,Corticotropin Injectable Solution [Acthar],1040021,RxNorm
40972302,Corticotropin 80 IU Injectable Solution [Acethropan],OMOP2170264,RxNorm Extension
41086631,Corticotropin 50 IU/ML Injectable Solution Box of 5,OMOP2284593,RxNorm Extension
41336645,1 ML Corticotropin 40 UNT/ML Injectable Solution [Acortan] Box of 1,OMOP2534607,RxNorm Extension
41128756,Corticotropin 40 UNT/ML Injectable Solution [Acortan] Box of 100,OMOP2326718,RxNorm Extension
41328286,1 ML Corticotropin 40 UNT/ML Injectable Solution Box of 10,OMOP2526248,RxNorm Extension
41333955,1 ML Corticotropin 40 UNT/ML Injectable Solution [Acortan] Box of 10,OMOP2531917,RxNorm Extension
41086632,Corticotropin 40 UNT/ML Injectable Solution Box of 5,OMOP2284594,RxNorm Extension
41333655,1 ML Corticotropin 20 UNT/ML Injectable Solution Box of 4,OMOP2531617,RxNorm Extension
41034771,Corticotropin 80 IU Injectable Solution [Depot Acethropan] Box of 1,OMOP2232733,RxNorm Extension
41128757,Corticotropin 80 IU Injectable Solution [Acethropan] Box of 5,OMOP2326719,RxNorm Extension
41180459,Corticotropin 15 IU/ML Injectable Solution,OMOP2378421,RxNorm Extension
41086634,Corticotropin 20 IU Injectable Solution Box of 1,OMOP2284596,RxNorm Extension
41284402,Corticotropin 25 IU Injectable Solution [Procortan Forte],OMOP2482364,RxNorm Extension
40878950,Corticotropin 40 UNT/ML Injectable Solution [Acortan],OMOP2076912,RxNorm Extension
41332269,1 ML Corticotropin 80 UNT/ML Injectable Solution Box of 1,OMOP2530231,RxNorm Extension
41358277,5 ML Corticotropin 40 UNT/ML Injectable Solution,OMOP2556239,RxNorm Extension
40026635,Corticotropin Injectable Solution [ACTH-40 HP],363472,RxNorm
40992890,Corticotropin 50 IU Injectable Solution Box of 25,OMOP2190852,RxNorm Extension
41333656,1 ML Corticotropin 40 UNT/ML Injectable Solution Box of 100,OMOP2531618,RxNorm Extension
19075848,Corticotropin 80 UNT/ML Injectable Solution,309541,RxNorm
19018902,Corticotropin 80 UNT/ML Injectable Suspension,197542,RxNorm
41331886,1 ML Corticotropin 40 UNT/ML Injectable Solution [Acortan] Box of 3,OMOP2529848,RxNorm Extension
41057639,Corticotropin 0.5 MG Injectable Solution [Actid] Box of 1,OMOP2255601,RxNorm Extension
